                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                0.84801,                0.60103,                0.98981,                0.76764,                0.61334,                0.69007,                0.40851,                 1.3736,                 0.9057,                 1.2031,             0.00069331,             0.00069331,             0.00069331
                     61,                0.84061,                0.59814,                0.98268,                0.75571,                0.63333,                0.69739,                0.41145,                 1.3975,                0.90443,                 1.2085,              0.0006768,              0.0006768,              0.0006768
                     62,                0.82107,                0.58181,                0.97842,                 0.7668,                 0.6151,                0.68902,                0.40213,                 1.3874,                 0.9208,                 1.2084,              0.0006603,              0.0006603,              0.0006603
                     63,                0.82777,                 0.5894,                0.97731,                0.76655,                0.61559,                0.69271,                0.40888,                 1.3869,                0.90308,                 1.2054,              0.0006438,              0.0006438,              0.0006438
                     64,                0.83055,                0.58464,                0.97844,                0.76942,                0.62325,                0.69844,                0.41059,                 1.3864,                0.90418,                 1.2185,             0.00062729,             0.00062729,             0.00062729
                     65,                0.83026,                0.58439,                0.98088,                0.77887,                0.62026,                0.69592,                 0.4112,                 1.3791,                0.90201,                 1.2084,             0.00061079,             0.00061079,             0.00061079
                     66,                0.81601,                0.58109,                0.97631,                0.75874,                0.62442,                0.69301,                0.41118,                 1.3874,                0.90698,                 1.2051,             0.00059429,             0.00059429,             0.00059429
                     67,                0.82841,                0.59032,                0.98137,                0.77132,                0.62686,                0.69741,                0.41454,                 1.3746,                0.89568,                 1.2053,             0.00057778,             0.00057778,             0.00057778
                     68,                0.80966,                0.56846,                0.97007,                0.77763,                0.61984,                0.69604,                0.41149,                 1.3872,                0.89841,                  1.208,             0.00056128,             0.00056128,             0.00056128
                     69,                0.79226,                0.56659,                0.96868,                0.77914,                0.61523,                0.69857,                 0.4153,                 1.3689,                0.88475,                 1.1952,             0.00054478,             0.00054478,             0.00054478
                     70,                0.79805,                0.56044,                0.96931,                0.77256,                 0.6215,                0.69782,                0.41515,                 1.3733,                 0.8914,                 1.2058,             0.00052827,             0.00052827,             0.00052827
                     71,                0.79068,                0.55265,                0.97061,                0.76942,                 0.6242,                0.69906,                0.41517,                 1.3657,                0.88577,                  1.197,             0.00051177,             0.00051177,             0.00051177
